Type	Accession	Unique Name
Sample	ERS2976816 (SAMEA5169100) 	Sample_TOG_7PVA_B5_0
Sample	ERS2976817 (SAMEA5169101) 	Sample_TOG_7PVA_B5_1
Sample	ERS2976818 (SAMEA5169102) 	Sample_TOG_7PVA_B5_3
Sample	ERS2976819 (SAMEA5169103) 	Sample_TOG_7PVA_B5_4
Sample	ERS2976820 (SAMEA5169104) 	Sample_TOG_7PVA_B5_5
Sample	ERS2976821 (SAMEA5169105) 	Sample_TOG_7PVA_B5_6
Sample	ERS2976822 (SAMEA5169106) 	Sample_TOG_7PVA_B5_7
Sample	ERS2976823 (SAMEA5169107) 	Sample_TOG_7PVA_B7_0
Sample	ERS2976824 (SAMEA5169108) 	Sample_TOG_7PVA_B7_1
Sample	ERS2976825 (SAMEA5169109) 	Sample_TOG_7PVA_B7_2
Sample	ERS2976826 (SAMEA5169110) 	Sample_TOG_7PVA_B7_3
Sample	ERS2976827 (SAMEA5169111) 	Sample_TOG_7PVA_B7_4
Sample	ERS2976828 (SAMEA5169112) 	Sample_TOG_7PVA_B7_5
Sample	ERS2976829 (SAMEA5169113) 	Sample_TOG_7PVA_B7_6
Sample	ERS2976830 (SAMEA5169114) 	Sample_TOG_7PVA_B7_7
Sample	ERS2976831 (SAMEA5169115) 	Sample_TOG_7PVA_B8_1
Sample	ERS2976832 (SAMEA5169116) 	Sample_TOG_7PVA_B8_2
Sample	ERS2976833 (SAMEA5169117) 	Sample_TOG_7PVA_B8_3
Sample	ERS2976834 (SAMEA5169118) 	Sample_TOG_7PVA_B8_4
Sample	ERS2976835 (SAMEA5169119) 	Sample_TOG_7PVA_B8_5
Sample	ERS2976836 (SAMEA5169120) 	Sample_TOG_7PVA_B8_6
Sample	ERS2976837 (SAMEA5169121) 	Sample_TOG_7PVA_B8_7
Sample	ERS2976838 (SAMEA5169122) 	Sample_TOG_7PVA_T1_0
Sample	ERS2976839 (SAMEA5169123) 	Sample_TOG_7PVA_T1_1
Sample	ERS2976840 (SAMEA5169124) 	Sample_TOG_7PVA_T1_4
Sample	ERS2976841 (SAMEA5169125) 	Sample_TOG_7PVA_T1_8
Sample	ERS2976842 (SAMEA5169126) 	Sample_TOG_KNQR_Airen_Finished_CTRL
Sample	ERS2976843 (SAMEA5169127) 	Sample_TOG_KNQR_Airen_Finished_Inoc
Sample	ERS2976844 (SAMEA5169128) 	Sample_TOG_KNQR_Bobal_Finished_CTRL
Sample	ERS2976845 (SAMEA5169129) 	Sample_TOG_KNQR_Bobal_Finished_Inoc
Sample	ERS2976846 (SAMEA5169130) 	Sample_TOG_KNQR_Tempranillo_Finished_CTRL
Sample	ERS2976847 (SAMEA5169131) 	Sample_TOG_KNQR_Tempranillo_Finished_Inoc
Sample	ERS2976848 (SAMEA5169132) 	Sample_TOG_THLR_T1_2
Sample	ERS2976849 (SAMEA5169133) 	Sample_TOG_THLR_T1_3
Sample	ERS2976850 (SAMEA5169134) 	Sample_TOG_THLR_T1_5
Sample	ERS2976851 (SAMEA5169135) 	Sample_TOG_THLR_T1_6
Sample	ERS2976852 (SAMEA5169136) 	Sample_TOG_THLR_T1_7
Sample	ERS2976853 (SAMEA5169137) 	Sample_TOG_THLR_T3_0
Sample	ERS2976854 (SAMEA5169138) 	Sample_TOG_THLR_T3_1
Sample	ERS2976855 (SAMEA5169139) 	Sample_TOG_THLR_T3_2
Sample	ERS2976856 (SAMEA5169140) 	Sample_TOG_THLR_T3_3
Sample	ERS2976857 (SAMEA5169141) 	Sample_TOG_THLR_T3_5
