,Rothia_2_156,Bfrigolitolerans_271,Staphylococcus_5_333b,Lkefiranofaciens_322b,Lkefiri_227a,Llactis_1_352,Lbuchneri_280,Staphylococcus_6_381a,Staphylococcus_3_215c,Stenotrophomonas_286a2,Afabarum_373,Bcasei_303,Lkefiri_152,Llactis_2_150,Staphylococcus_1_239,Afabarum_290,Llactis_1_261,Llactis_1_17,Mluteus_1_200b,Asyzygii_2_380,Mosloensis_424,Leuconostoc_230a,Rothia_3_286a1,Streptococcus_1_154,Staphylococcus_2_302,Staphylococcus_4_323,Mluteus_2_332,Rothia_1_245,Asyzygii_1_354,Lbuchneri_325,Streptococcus_2_384a,Binfantis_215b,Uncultured_1_285,Lkefiri_376,number_kos
ko00010,23.0,33.0,31.0,20.0,18.0,22.0,18.0,30.0,32.0,22.0,18.0,27.0,18.0,22.0,31.0,19.0,22.0,22.0,27.0,19.0,17.0,19.0,27.0,24.0,30.0,31.0,27.0,23.0,19.0,18.0,21.0,34.0,21.0,18.0,99.0
ko00020,16.0,23.0,21.0,3.0,6.0,10.0,6.0,21.0,20.0,23.0,18.0,21.0,6.0,10.0,21.0,18.0,10.0,10.0,21.0,18.0,18.0,5.0,18.0,20.0,21.0,21.0,22.0,16.0,18.0,6.0,4.0,22.0,15.0,6.0,57.0
ko00030,12.0,25.0,21.0,13.0,17.0,18.0,15.0,21.0,23.0,21.0,13.0,14.0,17.0,18.0,21.0,16.0,18.0,18.0,13.0,14.0,9.0,13.0,18.0,15.0,21.0,23.0,13.0,12.0,14.0,14.0,13.0,23.0,16.0,17.0,79.0
ko00040,2.0,17.0,3.0,2.0,9.0,7.0,10.0,4.0,7.0,7.0,4.0,3.0,9.0,8.0,4.0,5.0,7.0,8.0,3.0,3.0,3.0,8.0,3.0,4.0,5.0,8.0,3.0,2.0,3.0,10.0,3.0,7.0,3.0,9.0,70.0
ko00051,17.0,27.0,11.0,18.0,6.0,19.0,6.0,15.0,16.0,9.0,6.0,17.0,6.0,19.0,15.0,6.0,19.0,19.0,9.0,6.0,5.0,8.0,22.0,12.0,14.0,15.0,9.0,17.0,6.0,6.0,13.0,21.0,14.0,6.0,107.0
ko00052,7.0,11.0,14.0,17.0,11.0,17.0,13.0,14.0,14.0,10.0,3.0,7.0,11.0,10.0,14.0,3.0,17.0,17.0,6.0,4.0,3.0,12.0,10.0,8.0,14.0,14.0,6.0,7.0,4.0,13.0,20.0,12.0,10.0,11.0,77.0
ko00053,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,4.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,45.0
ko00061,7.0,14.0,11.0,11.0,12.0,13.0,11.0,11.0,11.0,14.0,13.0,10.0,12.0,13.0,11.0,13.0,13.0,13.0,7.0,12.0,12.0,12.0,9.0,6.0,11.0,12.0,7.0,7.0,12.0,11.0,12.0,14.0,6.0,12.0,33.0
ko00071,2.0,12.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,9.0,4.0,12.0,3.0,3.0,3.0,4.0,3.0,3.0,9.0,4.0,8.0,2.0,3.0,10.0,2.0,2.0,9.0,2.0,4.0,3.0,2.0,8.0,4.0,2.0,54.0
ko00072,0.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,0.0,5.0,2.0,2.0,5.0,1.0,2.0,2.0,3.0,0.0,6.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,5.0,3.0,1.0,8.0
