"B5_0"	"B5_1"	"B5_3"	"B5_4"	"B5_5"	"B5_6"	"B5_7"	"Bott_B5"	"B7_0"	"B7_1"	"B7_2"	"B7_3"	"B7_4"	"B7_5_"	"B7_6"	"B7_7"	"Bott_B7"	"B8_1"	"B8_2"	"B8_3"	"B8_4"	"B8_5"	"B8_6"	"B8_7"	"T1_0"	"T1_1"	"T1_2"	"T1_3"	"T1_4"	"T1_5"	"T1_6"	"T1_7"	"T1_8"	"Bott_T1"	"T3_0"	"T3_1"	"T3_2"	"T3_3"	"T3_5"	"T3_6"	"T3_8"	"Bott_T3"	"T4_0"	"T4_1"	"T4_2"	"T4_3"	"T4_4"	"T4_5"	"T4_6"	"T4_7"	"T4_8"	"9_0"	"A9_0"	"A9_1"	"A9_2"	"A9_3"	"A9_4"	"A9_5"	"A9_6"	"Bott_A9"	"A11_0"	"A11_1"	"A11_2"	"A11_3"	"A11_4"	"A11_5"	"A11_6"	"Bott_A11"	"A12_0"	"A12_1"	"A12_2"	"A12_3"	"A12_4"	"A12_5"	"A12_6"
"Acanthamoeba"	1.02237532292683e-05	0	0	0	0	0	0	0	1.07507477529017e-05	5.44955007492791e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.55710970189779e-05	0	0	0	3.25809264173943e-05	0	0	0	0	1.60709939986317e-05	2.36527958787368e-06	0	0	0	0	0	0	0	0	1.45035612285967e-05	0	0	0	0	0	0	7.55625197811882e-07	1.07658291812798e-05	1.28841099258004e-06	0	0	0	0	0	0	8.0868650610533e-06	0	1.29586582086944e-06	4.41478396365043e-07	1.36866025825983e-05	0	0	0	0	2.13728645836673e-06	0	0	1.8265443073333e-06	9.02992263523483e-07	0
"Acetobacter"	0.000107988393484146	3.10484724151572e-05	2.20826064475378e-05	0	0	0	0	1.49375522448212e-05	0	1.43050689466858e-05	0	0	3.14269731425087e-05	0	0	0.0001644964676548	0	0	4.42326302147199e-06	0	0	8.27524570583708e-06	3.58658708004499e-05	1.27941863217354e-05	0.0011522457860313	0.000544119994608491	8.31150205954132e-06	2.22974465650269e-05	2.52178634266083e-06	9.95134817748672e-05	4.45876850752417e-05	0.000263050842863784	4.73031631903479e-06	0.00943089795362706	0.0002441260516935	3.11428479070035e-05	1.86972387294603e-06	1.59892893080688e-06	0.000514141077600868	6.63664579147134e-05	7.67251496447319e-06	0.00333512884563344	2.88585384821016e-05	0	0	0	0.000364069474634047	3.64743107605394e-05	0	1.34118190391851e-05	0.00491315479897585	0.00981913355265175	0.0091700833755796	0.00190827374501025	0.000923699995795659	0.0016285975649606	0.00103947294647622	0.00148201888526461	0.00482033688937155	0.00184977297364025	0.00948235471315132	0.00627628544810946	0.00378954361549588	0.00324251166183579	0.00499974775273147	0.00552630304583944	0.00631026241377279	0.000149286149183817	0.00991721075254695	0.00429252612298374	0.00479178814523159	0.00309726178912845	0.00198023496405035	0.00505025513143414	0.00940675068329431
"Achromobacter"	0.00125816063177683	0.00255574925713655	0.000198326805076	0.000418438264921726	7.80355492289953e-05	0.000470534816830133	0.000358632218214367	0	0.000772518017101368	6.9277405327521e-05	0.000417029099500922	0.000289446665355965	0.00012413654391291	0.00012362186845624	0	5.1946252943621e-05	0	0.000253527008083038	5.30791562576639e-05	8.14588514441192e-05	1.05242552510772e-05	0.000206881142645927	0.000327371459008362	0.000110226836002643	0.00125043214373823	0.000234678569696232	6.30696332753429e-05	4.78537507049423e-05	5.57314781728044e-05	0.00162585905632888	0.000183924200935372	0.000971134344445598	0	0	0.00171806578699658	0.00174675897564472	4.67430968236508e-05	0.000308326795490594	0.000947506873683395	0.000902870301559158	0.00019375657790283	3.53993158763613e-07	0.00124091715473037	1.38171230078587e-05	6.64746556310681e-05	0	0.000129675283303793	0.000456223032174166	0.00111123489110455	0.000104962062045796	9.83261731471963e-06	0.00220016468311454	0.000975172652179321	0.000251733577550266	0.000257751204669203	0.00039239497799601	0.000285179423034027	0.00033587736445669	0.000808634015903379	0.000378581841889213	0.000928473194822183	0.000760151879764798	0.000884644400380207	0.000726379121485952	0.000860823643828767	0.00105060605171408	0.000590408388662039	7.08929407686397e-06	0.00109625723749467	0.000706373174490204	0.00113697813639504	0.000818572160089731	0.000510910536251229	0.001030494771133	0.000377661901662223
"Acidiphilium"	5.11187661463415e-06	3.96730480860342e-05	1.24995885552101e-05	0	0	1.41892794958503e-05	0.000135228057487855	0	2.30373166133609e-06	0	0.000142711141545187	0.000215719684557747	1.57134865712544e-05	0	0	0.000692616705914947	0	1.70438324761706e-05	2.80139991359893e-05	4.45586879694327e-05	0	6.89603808819757e-05	3.70105262515281e-05	3.12473396703922e-05	4.95057265749216e-06	4.26328970453934e-06	4.40020697269834e-06	0	8.57407356504683e-06	0	7.26973126226767e-06	0	0	6.79036783026981e-06	1.60709939986317e-05	6.46509754018807e-05	0	0	0	0	6.13801197157855e-07	3.59303056145067e-06	7.59435223213201e-06	0	0	0	1.32121986762356e-05	1.44132357037615e-05	0	5.05372891331611e-06	7.01269687729061e-05	0.00028098462712919	0.000392856641641881	6.43931366291599e-05	2.05510698792852e-05	6.74358151342624e-05	3.85886347999838e-05	6.34168452414654e-05	0.000299304355207676	7.94338000814328e-05	0.000330424252103975	0.000217227628052428	0.000114468147510134	0.000132737837840423	0.000314473566316444	0.0001978437372916	0.000203868577711179	8.21947139346548e-06	0.000204821492207967	0.0001066505942725	0.000188767411781851	0.000106418427139693	7.21485001396654e-05	0.000184752217116905	0.000266775913336337
"Acidithiobacillus"	7.09272880280489e-05	0.000112694455432793	7.0831001812857e-06	1.48625613223564e-05	0	0	1.33375618344186e-05	0	4.99141859956152e-05	0	0	0	0	0	0	0	0	0	1.27783153953635e-05	0	0	3.49399263135343e-05	2.67086271918244e-06	0	0.000111387884793574	1.85213115640914e-05	0	1.37215055784781e-05	0	8.64102831070021e-05	6.05810938522306e-06	4.9851401683477e-05	0	0	0	2.01048764969263e-05	0	0	5.36670237752242e-05	0.000105040436987316	9.10471775784152e-06	0	0.000397944056963717	0	0	0	0	0	0	0	0	0.000221182290045221	0.000250593898889255	6.36529856334225e-05	4.59653700353478e-05	7.03323870594925e-05	3.64373520236781e-05	6.53361444669322e-05	0.000133186779089968	9.85470102555524e-05	0.000218598071181597	0.000185222757519371	0.000136713844101726	0.000145467131602282	0.000161215446699675	0.000197303672494626	0.000108792253243428	1.08907995963418e-05	0.000195099857863987	0.000147045308335631	0.000211510473442315	0.000120580575238131	9.09358130150936e-05	0.000201186676313032	0.000144754930366847
"Acidobacterium"	0.000131630822826829	0	0	0	0	0	4.63109785917313e-05	0	5.83612020871809e-05	2.75202278783859e-05	0	0	3.29983217996342e-05	0	0	0	0	2.98267068332985e-05	0	0	0	0	2.4419316289668e-05	1.40243965449792e-05	5.36312037894984e-05	3.4021616516357e-05	1.98824166914518e-05	0	2.29482557182136e-05	7.08281009073788e-06	5.88848232243682e-05	1.18578576819921e-05	0	0	0.000280094466833295	0.000579099285764407	0	3.19785786161377e-06	5.42165154862333e-05	1.88595330045409e-05	2.29152446938933e-05	0	0	0	0	0	0	0	0	1.45780641730272e-05	0	1.07946456830269e-06	8.17049536079273e-06	1.20617199305366e-06	0	0	0	0	0	0	1.76900173210541e-06	2.46191311792752e-06	0	1.0301162581851e-06	1.27317233326495e-06	2.7003239848717e-06	0	0	1.16278371565249e-05	0	1.39957302525932e-06	5.46254283796904e-06	0	0	0
"Acidothermus"	5.75086119146342e-06	0	0	0	0	0	0	0	1.15186583066804e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.53802493603448e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0937706000258e-07	0	0	0	0	0	0	0	2.22548041546887e-06	0	0	0
"Acidovorax"	0.000225561555620732	0.000681916449710674	3.29155831953865e-05	0.000226368241678966	2.95996910868603e-05	0.000160201542695084	0.000140785374918863	0	0.000344023928092856	5.38143069899131e-06	7.44401055322159e-05	0.000139262074841077	0.000135135984512788	0	0	0.000203456157362516	0	5.75229346070757e-05	2.60481044597795e-05	1.04434424928358e-05	0	0.000159068611901091	4.54046662261015e-05	4.0596937367045e-05	0.000349427920074655	4.99736607750638e-05	1.64600334904642e-05	4.11645167354343e-06	0	0.000203630790108714	5.23420650883272e-05	8.54249747294533e-05	0	0	0.000399478993680273	0.000453345254342456	1.40229290470952e-05	5.78279296641823e-05	0.000134075977486226	0.000182149666866641	4.29660838010498e-05	1.41597263505445e-07	0.000546793360713505	4.74387889936483e-05	1.93380816381289e-05	0	1.56589021347977e-05	3.20620957491838e-05	0.000267828960805065	2.50742703776069e-05	1.22443913730471e-05	0.00103499062808862	0.000390934172145224	0.000109240804370882	7.54585084880625e-05	0.000115229251900559	6.96477798828976e-05	0.000123314975236242	0.000220270442341102	0.000220240293382516	0.000431004636300825	0.000311938873883287	0.000287034279322582	0.000233027013548015	0.000351077270897811	0.000522422680273179	0.000203868577711179	2.18843425851018e-05	0.000500950099136843	0.000212660002607489	0.000418122441296222	0.00031763675020783	0.000226752429010377	0.000504050281498808	0.000143827014146547
"Acinetobacter"	0.00067348974397805	0.00126608770848474	0.000107496461574806	0.000221795145887472	5.11267391500314e-05	0.000266392279567254	0.000181168548250853	0	0.000400849309072479	2.05720515328529e-05	6.2924509096293e-05	3.54981759398825e-05	0.000119422497941533	0.000146327925927795	0	0	0	1.49133534166493e-05	4.22667355385101e-05	5.84832779598805e-05	2.73630636528006e-05	0.000101141891960231	0.000129346065971835	3.66602646526649e-05	0.000760325450646504	0.000113612435569976	2.78679774937562e-05	4.64816001470945e-05	0	0.00107658713379216	4.0710495068699e-05	0.000512791845472271	5.00857022015449e-06	0	0.000703297308797262	0.000710766516156042	3.77060981044116e-05	8.1545375471151e-05	0.000498572145788943	0.000621648404352207	0.000304240793391243	0	0.000870312765802328	2.71736752487888e-05	0	7.5037162154557e-06	0.000165397153798801	0.00042798485610149	0.00046649585027572	4.60666827867661e-05	8.533969744851e-06	0.00149840476726096	0.00353628651562593	0.000187916113917791	0.000211785834633855	0.000340890308450513	0.00025452364347167	0.000380900925454098	0.000703255465414613	0.000349999701904061	0.000861503843535335	0.000654868889368721	0.000617264086007478	0.000524255595683489	0.00133539863105328	0.000970856483360874	0.000605682945707678	1.01715958494135e-05	0.000714540124282517	0.000580273273446567	0.00082154936582722	0.000634868867612846	0.000428063705168612	0.000719323637122807	0.000469061649361802
"Actinoplanes"	3.00322751109756e-05	1.03494908050524e-05	1.16662826515294e-05	0	0	2.79208402982861e-05	5.55731743100776e-06	0	1.45903005217952e-05	0	2.34424641731288e-05	0	2.19988811997561e-05	3.02747432954058e-05	0	0	0	0	0	0	0	0	0	0	3.71292949311912e-05	2.65396842534237e-06	4.5631776013168e-06	6.86075278923905e-06	0	2.86853808674884e-05	0	1.18578576819921e-05	0	0	0	0	0	0	1.64847513302736e-06	0	0	0	5.31604656249241e-05	1.28959814740015e-05	0	0	0	1.88254507151171e-05	0	5.4424772912635e-06	0	2.69866142075672e-06	2.88370424498567e-06	2.19303998737028e-07	0	0	0	4.79824806366699e-07	6.58615940554789e-06	0	6.57057786210581e-06	2.17227628052428e-06	0	4.34120423092293e-06	6.84330129129913e-06	1.08012959394868e-06	1.74566366235872e-05	0	1.90620281254506e-06	7.9079598959569e-06	0	0	0	0	5.56749732180181e-06
