,lbp,airen,bobal,tempr,sce,Lactobacillus_brevis,number_kos
ko00010,23.0,21.0,21.0,21.0,32.0,21.0,98.0
ko00020,8.0,5.0,5.0,5.0,26.0,9.0,57.0
ko00030,16.0,15.0,17.0,17.0,18.0,18.0,77.0
ko00040,8.0,6.0,8.0,6.0,14.0,8.0,63.0
ko00051,24.0,8.0,10.0,9.0,18.0,9.0,105.0
ko00052,22.0,17.0,16.0,15.0,15.0,12.0,74.0
ko00053,0.0,4.0,4.0,4.0,2.0,0.0,45.0
ko00061,12.0,11.0,11.0,11.0,8.0,11.0,33.0
ko00062,0.0,0.0,0.0,0.0,7.0,0.0,23.0
ko00071,1.0,3.0,3.0,3.0,13.0,3.0,53.0
ko00072,2.0,2.0,2.0,2.0,2.0,2.0,8.0
ko00100,0.0,0.0,0.0,0.0,16.0,0.0,30.0
ko00120,1.0,1.0,1.0,1.0,0.0,1.0,18.0
ko00121,1.0,1.0,1.0,1.0,0.0,1.0,8.0
ko00130,5.0,6.0,6.0,6.0,9.0,3.0,56.0
ko00140,0.0,0.0,0.0,0.0,3.0,1.0,47.0
ko00190,14.0,13.0,13.0,13.0,66.0,14.0,215.0
ko00195,8.0,8.0,8.0,8.0,1.0,8.0,63.0
ko00220,9.0,6.0,6.0,4.0,16.0,12.0,55.0
ko00230,49.0,44.0,44.0,44.0,90.0,54.0,269.0
ko00240,37.0,33.0,33.0,31.0,73.0,39.0,174.0
ko00250,18.0,13.0,14.0,14.0,24.0,18.0,67.0
ko00253,4.0,4.0,4.0,4.0,1.0,4.0,20.0
ko00254,0.0,0.0,0.0,0.0,1.0,0.0,13.0
ko00260,18.0,13.0,13.0,13.0,34.0,18.0,94.0
ko00261,5.0,4.0,4.0,4.0,4.0,4.0,28.0
ko00270,21.0,14.0,15.0,15.0,34.0,20.0,97.0
ko00280,4.0,5.0,5.0,5.0,18.0,5.0,69.0
ko00281,0.0,0.0,0.0,0.0,2.0,0.0,16.0
ko00290,2.0,6.0,6.0,6.0,12.0,9.0,17.0
ko00300,13.0,12.0,12.0,12.0,15.0,14.0,46.0
ko00310,1.0,1.0,2.0,2.0,13.0,2.0,76.0
ko00311,1.0,1.0,1.0,1.0,2.0,1.0,15.0
ko00330,4.0,6.0,6.0,6.0,19.0,9.0,96.0
ko00331,0.0,0.0,0.0,0.0,1.0,0.0,5.0
ko00332,2.0,2.0,2.0,2.0,2.0,2.0,19.0
ko00340,11.0,0.0,0.0,0.0,11.0,11.0,46.0
ko00350,6.0,3.0,4.0,4.0,12.0,6.0,69.0
ko00360,2.0,2.0,2.0,2.0,15.0,4.0,75.0
ko00361,1.0,1.0,0.0,1.0,2.0,1.0,39.0
