,A_bins.016-Sphingomonas.sp.FUKUSWIS1_aa.faa.mapped.emapper.annotations,A_bins.002-Pseudomonas.syringae.group2_aa.faa.mapped.emapper.annotations,A_bins.003-Lactobacillus.brevis_aa.faa.mapped.emapper.annotations,A_bins.005-Pseudomonas.aeruginosa.group_aa.faa.mapped.emapper.annotations,A_bins.006-Komagataeibacter.hansenii_aa.faa.mapped.emapper.annotations,A_bins.007-Gluconobacter.oxydans_aa.faa.mapped.emapper.annotations,A_bins.008-Gulbenkiania.mobilis_aa.faa.mapped.emapper.annotations,A_bins.012-Oenococcus.oeni_aa.faa.mapped.emapper.annotations,A_bins.014-Lactobacillus.plantarum_aa.faa.mapped.emapper.annotations,A_bins.017-Chryseobacterium_aa.faa.mapped.emapper.annotations,A_bins.021-Pseudomonas.syringae.group1_aa.faa.mapped.emapper.annotations,A_bins.023-Asaia.prunellae_aa.faa.mapped.emapper.annotations,B_bins.003-Pseudomonas.syringae.group_aa.faa.mapped.emapper.annotations,B_bins.004-Bradyrhizobium.sp.BTAi1_aa.faa.mapped.emapper.annotations,B_bins.005-Lactobacillus.plantarum_aa.faa.mapped.emapper.annotations,B_bins.006-Propionibacteriaceae_aa.faa.mapped.emapper.annotations,B_bins.007-Rhodanobacter.sp.115_aa.faa.mapped.emapper.annotations,B_bins.011-Oenococcus.oeni_aa.faa.mapped.emapper.annotations,T_bins.003-Pseudomonas.syringae.group_aa.faa.mapped.emapper.annotations,T_bins.005-Rhodanobacter.sp.115_aa.faa.mapped.emapper.annotations,T_bins.006-Pseudoalteromonas.haloplanktis_aa.faa.mapped.emapper.annotations,T_bins.009-Pezizomycotina_aa.faa.mapped.emapper.annotations,T_bins.010-Oenococcus.oeni_aa.faa.mapped.emapper.annotations,T_bins.013-Lactobacillus.plantarum_aa.faa.mapped.emapper.annotations,number_kos
ko00010,24.0,28.0,26.0,29.0,35.0,26.0,20.0,26.0,27.0,28.0,29.0,31.0,28.0,38.0,28.0,52.0,29.0,25.0,28.0,28.0,29.0,49.0,25.0,27.0,103.0
ko00020,19.0,25.0,11.0,25.0,22.0,14.0,19.0,5.0,10.0,21.0,25.0,23.0,24.0,24.0,10.0,37.0,21.0,5.0,24.0,22.0,23.0,33.0,5.0,10.0,58.0
ko00030,25.0,33.0,20.0,22.0,28.0,26.0,21.0,18.0,17.0,14.0,28.0,28.0,30.0,29.0,15.0,33.0,24.0,20.0,30.0,24.0,20.0,33.0,20.0,17.0,83.0
ko00040,13.0,15.0,11.0,5.0,9.0,9.0,3.0,9.0,10.0,8.0,14.0,12.0,14.0,15.0,9.0,30.0,7.0,11.0,14.0,8.0,16.0,29.0,9.0,10.0,79.0
ko00051,24.0,34.0,18.0,18.0,20.0,27.0,11.0,12.0,28.0,18.0,33.0,30.0,33.0,28.0,27.0,48.0,19.0,15.0,33.0,19.0,14.0,36.0,14.0,28.0,109.0
ko00052,16.0,14.0,14.0,10.0,7.0,14.0,7.0,17.0,25.0,13.0,13.0,16.0,14.0,15.0,23.0,30.0,14.0,16.0,14.0,15.0,15.0,23.0,16.0,25.0,78.0
ko00053,4.0,14.0,2.0,1.0,5.0,7.0,4.0,6.0,2.0,10.0,13.0,8.0,13.0,15.0,2.0,13.0,4.0,6.0,13.0,4.0,5.0,10.0,6.0,2.0,50.0
ko00061,10.0,17.0,11.0,14.0,14.0,13.0,13.0,12.0,13.0,13.0,15.0,11.0,17.0,16.0,12.0,18.0,17.0,12.0,17.0,16.0,17.0,19.0,12.0,13.0,33.0
ko00062,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,25.0
ko00071,15.0,19.0,8.0,18.0,9.0,8.0,14.0,9.0,8.0,11.0,16.0,14.0,19.0,18.0,6.0,23.0,19.0,8.0,19.0,20.0,15.0,22.0,8.0,8.0,58.0
ko00072,5.0,5.0,2.0,5.0,1.0,0.0,3.0,2.0,3.0,6.0,5.0,3.0,5.0,7.0,3.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,2.0,3.0,8.0
ko00073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
ko00100,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,31.0
ko00120,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,18.0
ko00121,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,14.0
ko00130,11.0,17.0,6.0,19.0,12.0,13.0,13.0,8.0,6.0,14.0,19.0,15.0,17.0,14.0,6.0,22.0,14.0,7.0,17.0,14.0,15.0,25.0,7.0,6.0,58.0
ko00140,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,8.0,0.0,0.0,3.0,0.0,1.0,7.0,0.0,0.0,48.0
ko00190,50.0,68.0,15.0,45.0,57.0,42.0,53.0,13.0,17.0,40.0,53.0,40.0,61.0,60.0,16.0,109.0,66.0,13.0,48.0,67.0,53.0,95.0,13.0,22.0,216.0
ko00195,9.0,16.0,8.0,7.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,7.0,9.0,11.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,3.0,8.0,8.0,63.0
ko00220,16.0,24.0,16.0,20.0,15.0,15.0,17.0,8.0,14.0,17.0,26.0,15.0,24.0,25.0,11.0,30.0,17.0,8.0,24.0,17.0,22.0,34.0,6.0,14.0,58.0
