"X.SampleID" "variety" "state" "mod"
"B5_0" "B5_0" "Bobal" "must" "LPinoc"
"B5_1" "B5_1" "Bobal" "Tank_ferm" "LPinoc"
"B5_3" "B5_3" "Bobal" "Tank_ferm" "LPinoc"
"B5_4" "B5_4" "Bobal" "Tank_ferm" "LPinoc"
"B5_5" "B5_5" "Bobal" "Tank_ferm" "LPinoc"
"B5_6" "B5_6" "Bobal" "Tank_ferm" "LPinoc"
"B5_7" "B5_7" "Bobal" "Tank_ferm" "LPinoc"
"Bott_B5" "Bott_B5" "Bobal" "Bottle" "LPinoc"
"B7_0" "B7_0" "Bobal" "must" "control1"
"B7_1" "B7_1" "Bobal" "Tank_ferm" "control1"
"B7_2" "B7_2" "Bobal" "Tank_ferm" "control1"
"B7_3" "B7_3" "Bobal" "Tank_ferm" "control1"
"B7_4" "B7_4" "Bobal" "Tank_ferm" "control1"
"B7_5_" "B7_5_" "Bobal" "Tank_ferm" "control1"
"B7_6" "B7_6" "Bobal" "Tank_ferm" "control1"
"B7_7" "B7_7" "Bobal" "Tank_ferm" "control1"
"Bott_B7" "Bott_B7" "Bobal" "Bottle" "control1"
"B8_1" "B8_1" "Bobal" "Tank_ferm" "control2"
"B8_2" "B8_2" "Bobal" "Tank_ferm" "control2"
"B8_3" "B8_3" "Bobal" "Tank_ferm" "control2"
"B8_4" "B8_4" "Bobal" "Tank_ferm" "control2"
"B8_5" "B8_5" "Bobal" "Tank_ferm" "control2"
"B8_6" "B8_6" "Bobal" "Tank_ferm" "control2"
"B8_7" "B8_7" "Bobal" "Tank_ferm" "control2"
"T1_0" "T1_0" "Tempranillo" "must" "LPinoc"
"T1_1" "T1_1" "Tempranillo" "Tank_ferm" "LPinoc"
"T1_2" "T1_2" "Tempranillo" "Tank_ferm" "LPinoc"
"T1_3" "T1_3" "Tempranillo" "Tank_ferm" "LPinoc"
"T1_4" "T1_4" "Tempranillo" "Tank_ferm" "LPinoc"
"T1_5" "T1_5" "Tempranillo" "Tank_ferm" "LPinoc"
"T1_6" "T1_6" "Tempranillo" "Tank_ferm" "LPinoc"
"T1_7" "T1_7" "Tempranillo" "Tank_ferm" "LPinoc"
"T1_8" "T1_8" "Tempranillo" "Tank_ferm" "LPinoc"
"Bott_T1" "Bott_T1" "Tempranillo" "Bottle" "LPinoc"
"T3_0" "T3_0" "Tempranillo" "must" "control1"
"T3_1" "T3_1" "Tempranillo" "Tank_ferm" "control1"
"T3_2" "T3_2" "Tempranillo" "Tank_ferm" "control1"
"T3_3" "T3_3" "Tempranillo" "Tank_ferm" "control1"
"T3_5" "T3_5" "Tempranillo" "Tank_ferm" "control1"
"T3_6" "T3_6" "Tempranillo" "Tank_ferm" "control1"
"T3_8" "T3_8" "Tempranillo" "Tank_ferm" "control1"
"Bott_T3" "Bott_T3" "Tempranillo" "Bottle" "control1"
"T4_0" "T4_0" "Tempranillo" "must" "control2"
"T4_1" "T4_1" "Tempranillo" "Tank_ferm" "control2"
"T4_2" "T4_2" "Tempranillo" "Tank_ferm" "control2"
"T4_3" "T4_3" "Tempranillo" "Tank_ferm" "control2"
"T4_4" "T4_4" "Tempranillo" "Tank_ferm" "control2"
"T4_5" "T4_5" "Tempranillo" "Tank_ferm" "control2"
"T4_6" "T4_6" "Tempranillo" "Tank_ferm" "control2"
"T4_7" "T4_7" "Tempranillo" "Tank_ferm" "control2"
"T4_8" "T4_8" "Tempranillo" "Tank_ferm" "control2"
"X9_0" "X9_0" "Airen" "Grape" "LPinoc"
"A9_0" "A9_0" "Airen" "must" "LPinoc"
"A9_1" "A9_1" "Airen" "Tank_ferm" "LPinoc"
"A9_2" "A9_2" "Airen" "Tank_ferm" "LPinoc"
"A9_3" "A9_3" "Airen" "Tank_ferm" "LPinoc"
"A9_4" "A9_4" "Airen" "Tank_ferm" "LPinoc"
"A9_5" "A9_5" "Airen" "Tank_ferm" "LPinoc"
"A9_6" "A9_6" "Airen" "Tank_ferm" "LPinoc"
"Bott_A9" "Bott_A9" "Airen" "Bottle" "LPinoc"
"A11_0" "A11_0" "Airen" "must" "control1"
"A11_1" "A11_1" "Airen" "Tank_ferm" "control1"
"A11_2" "A11_2" "Airen" "Tank_ferm" "control1"
"A11_3" "A11_3" "Airen" "Tank_ferm" "control1"
"A11_4" "A11_4" "Airen" "Tank_ferm" "control1"
"A11_5" "A11_5" "Airen" "Tank_ferm" "control1"
"A11_6" "A11_6" "Airen" "Tank_ferm" "control1"
"Bott_A11" "Bott_A11" "Airen" "Bottle" "control1"
"A12_0" "A12_0" "Airen" "must" "control2"
"A12_1" "A12_1" "Airen" "Tank_ferm" "control2"
"A12_2" "A12_2" "Airen" "Tank_ferm" "control2"
"A12_3" "A12_3" "Airen" "Tank_ferm" "control2"
"A12_4" "A12_4" "Airen" "Tank_ferm" "control2"
"A12_5" "A12_5" "Airen" "Tank_ferm" "control2"
"A12_6" "A12_6" "Airen" "Tank_ferm" "control2"
